Extracted,Edition,Link,Name,Note
FALSE,19,https://hackforums.net/showthread.php?tid=739652,[10/07/2010] - HF News,
FALSE,20,https://hackforums.net/showthread.php?tid=759469,[10/15/2010] - HF News,
FALSE,21,https://hackforums.net/showthread.php?tid=781247,[10/23/2010] - HF News,
FALSE,21.1,https://hackforums.net/showthread.php?tid=798392,HF News,Delayed due to cancer of loved one
FALSE,22,https://hackforums.net/showthread.php?tid=799352,[10/31/2010] - HF News,
FALSE,23,https://hackforums.net/showthread.php?tid=818214,[11/07/2010] - HF News,
FALSE,24,https://hackforums.net/showthread.php?tid=836025,[11/15/2010] - HF News,
FALSE,25,https://hackforums.net/showthread.php?tid=856467,[11/22/2010] - HF News,
FALSE,26,https://hackforums.net/showthread.php?tid=869529,[11/29/2010] - HF News,
FALSE,27,https://hackforums.net/showthread.php?tid=892359,[12/04/2010] HF News,
FALSE,28,https://hackforums.net/showthread.php?tid=905087,[12/11/2010] - HF News,
FALSE,29,https://hackforums.net/showthread.php?tid=923573,[12/18/2010] - HF NEWS - HOLIDAY EDITION,
FALSE,30,https://hackforums.net/showthread.php?tid=977917,[1/12/2011] - HF News,Move from single contributor to team
FALSE,31,https://hackforums.net/showthread.php?tid=990058,[1/19/2011] HF News,
FALSE,31.1,https://hackforums.net/showthread.php?tid=1046837,Im done writing HF news.,Pinterest steps away from writing
FALSE,32,https://hackforums.net/showthread.php?tid=1012683,HF News 1/28/2011,
FALSE,33,https://hackforums.net/showthread.php?tid=1049970,[2/10/2011] - HF News,
FALSE,34,https://hackforums.net/showthread.php?tid=1091816,[2/26/2011] - HF News,
FALSE,35,https://hackforums.net/showthread.php?tid=1076405,[2/18/2011] - HF News,
FALSE,36,https://hackforums.net/showthread.php?tid=1123680,[3/12/2011] - HF News,
FALSE,36.1,https://hackforums.net/showthread.php?tid=1125383,[3/18/11] - HF News,
FALSE,37,https://hackforums.net/showthread.php?tid=1211542,[4/13/2011] - HF News,
FALSE,38,https://hackforums.net/showthread.php?tid=1229543,[4/20/2011] - HF News,
FALSE,39,https://hackforums.net/showthread.php?tid=1249554,[4/27/2011] - HF News,
FALSE,40,https://hackforums.net/showthread.php?tid=1270133,[5/4/2011] - HF News,
FALSE,41,https://hackforums.net/showthread.php?tid=1283213,[5/11/2011] - HF News,
FALSE,42,https://hackforums.net/showthread.php?tid=1305409,[5/18/2011] - HF News,
FALSE,43,https://hackforums.net/showthread.php?tid=1321532,[5/25/2011] - HF News,
FALSE,44,https://hackforums.net/showthread.php?tid=1342426,[6/1/2011] - HF News,
FALSE,45,https://hackforums.net/showthread.php?tid=1363454,[6/8/2011] - HF News,
FALSE,46,https://hackforums.net/showthread.php?tid=1389389,[6/16/2011] - HF News,
FALSE,47,https://hackforums.net/showthread.php?tid=1407730,[6/22/2011] - HF News,
FALSE,48,https://hackforums.net/showthread.php?tid=1430574,[6/29/2011] - HF News,
FALSE,49,https://hackforums.net/showthread.php?tid=1456450,[7/6/2011] - HF News,
FALSE,50,https://hackforums.net/showthread.php?tid=1482375,[7/14/2011] - HF News,
FALSE,51,https://hackforums.net/showthread.php?tid=1506097,[7/20/2011] - HF News,
FALSE,52,https://hackforums.net/showthread.php?tid=1535517,[7/28/2011] - HF News,
FALSE,53,https://hackforums.net/showthread.php?tid=1566535,[8/5/2011] - HF News,
FALSE,54,https://hackforums.net/showthread.php?tid=1598186,[8/13/11] - HF News,
FALSE,55,https://hackforums.net/showthread.php?tid=1626749,[8/19/11] - HF News,Battle between Sir & Xerotic/Judge Dredd for Writers ownership (https://hackforums.net/showthread.php?tid=1660053)
FALSE,56,https://hackforums.net/showthread.php?tid=1655392,[8/26/11] - HF News,
FALSE,57,https://hackforums.net/showthread.php?tid=1690980,[9/4/11] - HF News,
FALSE,58,https://hackforums.net/showthread.php?tid=1715039,[9/11/11] - HF News,
FALSE,58.1,https://hackforums.net/showthread.php?tid=1725450,[9/14/11] - HF News Misc.,
FALSE,59,https://hackforums.net/showthread.php?tid=1741486,[9/19/11] - HF News,
FALSE,59.1,https://hackforums.net/showthread.php?tid=1745696,[9/21/11] - HF News Misc.,
FALSE,60,https://hackforums.net/showthread.php?tid=1762517,[9/25/11] - HF News,
FALSE,60.1,https://hackforums.net/showthread.php?tid=1768813,[9/28/11] - HF User News,
FALSE,61,https://hackforums.net/showthread.php?tid=1784586,[10/2/11] - HF News,
FALSE,61.1,https://hackforums.net/showthread.php?tid=1792627,[10/5/11] - HF User News,
FALSE,62,https://hackforums.net/showthread.php?tid=1806621,[10/9/11] - HF News,
FALSE,62.1,https://hackforums.net/showthread.php?tid=1816336,[10/12/11] - HF User News,
FALSE,63,https://hackforums.net/showthread.php?tid=1829241,[10/16/11] - HF News,
FALSE,63.1,https://hackforums.net/showthread.php?tid=1837952,[10/19/11] - HF User News,
FALSE,64,https://hackforums.net/showthread.php?tid=1861377,[10/26/11] - HF News (Editions Combined),
FALSE,65,https://hackforums.net/showthread.php?tid=1883002,[11/2/11] - HF News,
FALSE,66,https://hackforums.net/showthread.php?tid=1906290,[11/9/11] - HF News,
FALSE,66.1,https://hackforums.net/showthread.php?tid=1910385,[11/11/11] - HF News ~Special Edition~,
FALSE,67,https://hackforums.net/showthread.php?tid=1925479,[11/16/11] - HF News,
FALSE,68,https://hackforums.net/showthread.php?tid=1951041,[11/24/11] - HF News,
FALSE,69,https://hackforums.net/showthread.php?tid=1969883,[11/30/11] - HF News,
FALSE,70,https://hackforums.net/showthread.php?tid=1991692,[12/7/11] - HF News,
FALSE,71,https://hackforums.net/showthread.php?tid=2012975,[12/14/11] - HF News,
FALSE,72,https://hackforums.net/showthread.php?tid=2036368,[12/21/11] - HF News,
FALSE,73,https://hackforums.net/showthread.php?tid=2058737,[12/28/11] - HF News,
FALSE,74,https://hackforums.net/showthread.php?tid=2082259,[1/4/12] - HF News,
FALSE,75,https://hackforums.net/showthread.php?tid=2102805,[1/11/12] - HF News,
FALSE,76,https://hackforums.net/showthread.php?tid=2124517,[1/18/12] - HF News,
FALSE,77,https://hackforums.net/showthread.php?tid=2148035,[1/25/12] - HF News,
FALSE,78,https://hackforums.net/showthread.php?tid=2194195,[2/8/12] - HF News (Real),
FALSE,79,https://hackforums.net/showthread.php?tid=2216995,[2/15/12] - HF News,
FALSE,80,https://hackforums.net/showthread.php?tid=2239136,[2/22/12] - HF News,
FALSE,81,https://hackforums.net/showthread.php?tid=2260220,[2/29/12] - HF News,
FALSE,82,https://hackforums.net/showthread.php?tid=2283103,[3/7/12] - HF News,
FALSE,83,https://hackforums.net/showthread.php?tid=2305312,[3/14/12] - HF News,
FALSE,84,https://hackforums.net/showthread.php?tid=2325745,[3/21/12] - HF News,
FALSE,85,https://hackforums.net/showthread.php?tid=2348041,[3/28/12] - HF News,
FALSE,86,https://hackforums.net/showthread.php?tid=2369041,[4/4/12] - HF News,
FALSE,87,https://hackforums.net/showthread.php?tid=2393802,[4/11/12] - HF News,
FALSE,88,https://hackforums.net/showthread.php?tid=2421341,[4/20/12] - HF News,420 theme'd
FALSE,88.1,https://hackforums.net/showthread.php?tid=2436590,[4/25/12] - HF News (Notice),New release day is Friday
FALSE,89,https://hackforums.net/showthread.php?tid=2442221,[4/27/12] - HF News,
FALSE,90,https://hackforums.net/showthread.php?tid=2463994,[5/4/12] - HF News,
FALSE,91,https://hackforums.net/showthread.php?tid=2487524,[5/11/12] - HF News,
FALSE,92,https://hackforums.net/showthread.php?tid=2507493,[5/19/12] - HF News,
FALSE,93,https://hackforums.net/showthread.php?tid=2528143,[5/26/2012] - HF News,
FALSE,94,https://hackforums.net/showthread.php?tid=2550724,[6/2/12] - HF News,
FALSE,95,https://hackforums.net/showthread.php?tid=2571222,[6/9/12] - HF News,
FALSE,96,https://hackforums.net/showthread.php?tid=2591918,[6/16/12] - HF News,
FALSE,97,https://hackforums.net/showthread.php?tid=2614717,[6/23/12] - HF News,
FALSE,98,https://hackforums.net/showthread.php?tid=2636537,[6/30/12] - HF News,
FALSE,99,https://hackforums.net/showthread.php?tid=2656507,[7/7/12] - HF News,
FALSE,99.1,https://hackforums.net/showthread.php?tid=2679332,[7/14/12] - HF News Notice,
FALSE,100,https://hackforums.net/showthread.php?tid=2678638,[7/15/12] - HF News ~~100th Edition~~,
FALSE,101,https://hackforums.net/showthread.php?tid=2700396,[7/21/12] - HF News,
FALSE,102,https://hackforums.net/showthread.php?tid=2720816,[7/28/12] - HF News,
FALSE,103,https://hackforums.net/showthread.php?tid=2747840,[8/5/12] - HF News,
FALSE,104,https://hackforums.net/showthread.php?tid=2768679,[8/11/12] - HF News,
FALSE,105,https://hackforums.net/showthread.php?tid=2790534,[8/18/12] - HF News,
FALSE,106,https://hackforums.net/showthread.php?tid=2811210,[8/25/12] - HF News,
FALSE,107,https://hackforums.net/showthread.php?tid=2830403,[9/1/12] - HF News,
FALSE,108,https://hackforums.net/showthread.php?tid=2851359,[9/8/12] - HF News,
FALSE,109,https://hackforums.net/showthread.php?tid=2870239,[9/16/12] - HF News,
FALSE,110,https://hackforums.net/showthread.php?tid=2888704,[9/22/12] - HF News,
FALSE,111,https://hackforums.net/showthread.php?tid=2907042,[9/30/12] - HF News,
FALSE,112,https://hackforums.net/showthread.php?tid=2924777,[10/7/12] - HF News,
FALSE,113,https://hackforums.net/showthread.php?tid=2943058,[10/14/12] - HF News,
FALSE,114,https://hackforums.net/showthread.php?tid=2961890,[10/21/12] - HF News,
FALSE,115,https://hackforums.net/showthread.php?tid=2980155,[10/28/12] - HF News,
FALSE,116,https://hackforums.net/showthread.php?tid=2998447,[11/4/12] - HF News,
FALSE,117,https://hackforums.net/showthread.php?tid=3015755,[11/11/12] - HF News,
FALSE,118,https://hackforums.net/showthread.php?tid=3034418,[11/18/12] - HF News,
FALSE,119,https://hackforums.net/showthread.php?tid=3050160,[11/25/12] - HF News,
FALSE,120,https://hackforums.net/showthread.php?tid=3069067,[12/2/12] - HF News,
FALSE,121,https://hackforums.net/showthread.php?tid=3084702,[12/9/12] - HF News,
FALSE,122,https://hackforums.net/showthread.php?tid=3102149,[12/16/12] - HF News,
FALSE,123,https://hackforums.net/showthread.php?tid=3124387,[12/25/12] - HF News - Christmas Edition,
FALSE,124,https://hackforums.net/showthread.php?tid=3143554,[1/1/13] - HF News - New Years Edition,
FALSE,125,https://hackforums.net/showthread.php?tid=3178135,[1/13/13] - HF News,
FALSE,126,https://hackforums.net/showthread.php?tid=3196596,[1/20/13] - HF News,
FALSE,127,https://hackforums.net/showthread.php?tid=3218065,[1/27/13] - HF News,
FALSE,127.1,https://hackforums.net/showthread.php?tid=3235050,Terrible News,HF Upgrade Database Compromised
FALSE,127.2,https://hackforums.net/showthread.php?tid=3242369,Terrible News (continuation part 3),Added and upgraded HF DB hacker to Ub3r w/awards
FALSE,128,https://hackforums.net/showthread.php?tid=3233528,[2/3/13] - HF News,
FALSE,129,https://hackforums.net/showthread.php?tid=3254513,[2/10/13] - HF News,
FALSE,130,https://hackforums.net/showthread.php?tid=3272215,[2/17/13] - HF News,
FALSE,131,https://hackforums.net/showthread.php?tid=3284251,[2/24/13] - HF News,
FALSE,132,https://hackforums.net/showthread.php?tid=3301568,[3/3/13] - HF News,
FALSE,133,https://hackforums.net/showthread.php?tid=3318944,[3/10/13] - HF News,
FALSE,134,https://hackforums.net/showthread.php?tid=3336380,[3/17/13] - HF News,
FALSE,135,https://hackforums.net/showthread.php?tid=3353357,[3/24/13] - HF News,
FALSE,136,https://hackforums.net/showthread.php?tid=3371591,[3/31/13] - HF News - Goodbye </3,April fools joke
FALSE,137,https://hackforums.net/showthread.php?tid=3393860,[4/7/13] - HF News,
FALSE,138,https://hackforums.net/showthread.php?tid=3409497,[4/14/13] - HF News,
FALSE,139,https://hackforums.net/showthread.php?tid=3427113,[4/21/13] - HF News,
FALSE,140,https://hackforums.net/showthread.php?tid=3447322,[4/28/13] - HF News,
FALSE,141,https://hackforums.net/showthread.php?tid=3464055,[5/5/13] - HF News,
FALSE,142,https://hackforums.net/showthread.php?tid=3476457,[5/12/13] - HF News,
FALSE,143,https://hackforums.net/showthread.php?tid=3493278,[5/19/13] - HF News,
FALSE,144,https://hackforums.net/showthread.php?tid=3510090,[5/26/13] - HF News,
FALSE,145,https://hackforums.net/showthread.php?tid=3524320,[6/1/13] - HF News,
FALSE,146,https://hackforums.net/showthread.php?tid=3542646,[6/9/13] - HF News,
FALSE,147,https://hackforums.net/showthread.php?tid=3559333,[6/16/13] - HF News,
FALSE,148,https://hackforums.net/showthread.php?tid=3575590,[6/23/13] - HF News,
FALSE,149,https://hackforums.net/showthread.php?tid=3591626,[6/30/13] - HF News,
FALSE,150,https://hackforums.net/showthread.php?tid=3605552,[7/7/13] - HF News,
FALSE,151,https://hackforums.net/showthread.php?tid=3624202,[7/14/13] - HF News,
FALSE,152,https://hackforums.net/showthread.php?tid=3640383,[7/21/13] - HF News,
FALSE,153,https://hackforums.net/showthread.php?tid=3658721,[7/29/13] - HF News,
FALSE,154,https://hackforums.net/showthread.php?tid=3672548,[8/5/13] - HF News,
FALSE,155,https://hackforums.net/showthread.php?tid=3688257,[8/12/13] - HF News,
FALSE,156,https://hackforums.net/showthread.php?tid=3703439,[8/19/13] - HF News,
FALSE,157,https://hackforums.net/showthread.php?tid=3718212,[8/26/13] - HF News,
FALSE,158,https://hackforums.net/showthread.php?tid=3732173,[9/2/13] - HF News,
FALSE,159,https://hackforums.net/showthread.php?tid=3745841,[9/9/13] - HF News,
FALSE,160,https://hackforums.net/showthread.php?tid=3758876,[9/16/13] - HF News,
FALSE,161,https://hackforums.net/showthread.php?tid=3770270,[9/23/13] - HF News,
FALSE,162,https://hackforums.net/showthread.php?tid=3781681,[9/30/13] - HF News - Sir's 100th Edition,
FALSE,163,https://hackforums.net/showthread.php?tid=3793596,[10/7/13] - RN News,
FALSE,164,https://hackforums.net/showthread.php?tid=3807870,[10/14/13] - HF News,
FALSE,165,https://hackforums.net/showthread.php?tid=3819360,[10/21/13] - HF News,
FALSE,166,https://hackforums.net/showthread.php?tid=3834523,[10/28/13] - HF News,
FALSE,167,https://hackforums.net/showthread.php?tid=3848685,[11/4/13] - HF News,
FALSE,168,https://hackforums.net/showthread.php?tid=3860781,[11/11/13] - HF News,
FALSE,169,https://hackforums.net/showthread.php?tid=3876630,[11/18/13] - HF News,
FALSE,170,https://hackforums.net/showthread.php?tid=3890613,[11/25/13] - HF News,
FALSE,171,https://hackforums.net/showthread.php?tid=3906642,[12/2/13] - HF News,
FALSE,172,https://hackforums.net/showthread.php?tid=3921129,HF News - 172,
FALSE,173,https://hackforums.net/showthread.php?tid=3933261,HF News - 173,
FALSE,174,https://hackforums.net/showthread.php?tid=3952610,HF News - 174 - Christmas Edition,
FALSE,175,https://hackforums.net/showthread.php?tid=3966128,HF News - 175 - New Years Edition,
FALSE,176,https://hackforums.net/showthread.php?tid=3982620,HF News - 176,
FALSE,177,https://hackforums.net/showthread.php?tid=3997585,HF News - 177,
FALSE,178,https://hackforums.net/showthread.php?tid=4013003,HF News - 178,
FALSE,179,https://hackforums.net/showthread.php?tid=4027495,HF News - 179,
FALSE,180,https://hackforums.net/showthread.php?tid=4043618,HF News - 180,
FALSE,181,https://hackforums.net/showthread.php?tid=4055101,HF News - 181,
FALSE,182,https://hackforums.net/showthread.php?tid=4071653,HF News - 182,
FALSE,183,https://hackforums.net/showthread.php?tid=4083607,HF News - 183,
FALSE,184,https://hackforums.net/showthread.php?tid=4097347,HF News - 184,
FALSE,185,https://hackforums.net/showthread.php?tid=4108587,HF News - 185,
FALSE,186,https://hackforums.net/showthread.php?tid=4122917,HF News - 186,
FALSE,187,https://hackforums.net/showthread.php?tid=4138270,HF News - 187,
FALSE,188,https://hackforums.net/showthread.php?tid=4147680,HF News - 188,
FALSE,189,https://hackforums.net/showthread.php?tid=4161426,HF News - 189,
FALSE,190,https://hackforums.net/showthread.php?tid=4177118,HF News - 190,
FALSE,191,https://hackforums.net/showthread.php?tid=4190522,HF News - 191,
FALSE,192,https://hackforums.net/showthread.php?tid=4209027,HF News - 192,
FALSE,193,https://hackforums.net/showthread.php?tid=4216992,HF News - 193,
FALSE,194,https://hackforums.net/showthread.php?tid=4238244,HF News - 194,
FALSE,195,https://hackforums.net/showthread.php?tid=4247576,HF News - 195,
FALSE,196,https://hackforums.net/showthread.php?tid=4266226,HF News - 196,
FALSE,197,https://hackforums.net/showthread.php?tid=4274953,HF News - 197,
FALSE,198,https://hackforums.net/showthread.php?tid=4289677,HF News - 198,
FALSE,199,https://hackforums.net/showthread.php?tid=4301106,HF News - 199,
FALSE,200,https://hackforums.net/showthread.php?tid=4310266,HF News - 200,
FALSE,201,https://hackforums.net/showthread.php?tid=4327542,HF News - 201,
FALSE,202,https://hackforums.net/showthread.php?tid=4358145,HF News - 202,
FALSE,203,https://hackforums.net/showthread.php?tid=4375664,HF News - 203,
FALSE,204,https://hackforums.net/showthread.php?tid=4388688,HF News - 204,
FALSE,205,https://hackforums.net/showthread.php?tid=4407930,HF News - 205,
FALSE,206,https://hackforums.net/showthread.php?tid=4417716,HF News - 206,
FALSE,207,https://hackforums.net/showthread.php?tid=4428684,HF News - 207,
FALSE,208,https://hackforums.net/showthread.php?tid=4479194,HF News - 208,
FALSE,209,https://hackforums.net/showthread.php?tid=4489421,HF News - 209,
FALSE,210,https://hackforums.net/showthread.php?tid=4501843,HF News - 210,
FALSE,211,https://hackforums.net/showthread.php?tid=4512990,HF News - 211,
FALSE,212,https://hackforums.net/showthread.php?tid=4524357,HF News - 212,
FALSE,213,https://hackforums.net/showthread.php?tid=4532029,HF News - 213,
FALSE,214,https://hackforums.net/showthread.php?tid=4542351,HF News - 214,
FALSE,215,https://hackforums.net/showthread.php?tid=4553999,HF News - 215,
FALSE,216,https://hackforums.net/showthread.php?tid=4565554,HF News - 216,
FALSE,217,https://hackforums.net/showthread.php?tid=4576209,HF News - 217,
FALSE,218,https://hackforums.net/showthread.php?tid=4587062,HF News - 218 {Featuring the Omnicast!},
FALSE,219,https://hackforums.net/showthread.php?tid=4597900,HF News - 219 {Happy Holidays!},
FALSE,220,https://hackforums.net/showthread.php?tid=4609895,HF News - 220 {Happy New Year!},
FALSE,221,https://hackforums.net/showthread.php?tid=4622222,HF News - 221,
FALSE,222,https://hackforums.net/showthread.php?tid=4634325,HF News - 222,
FALSE,223,https://hackforums.net/showthread.php?tid=4645650,HF News - 223,
FALSE,224,https://hackforums.net/showthread.php?tid=4656904,HF News - 224,
FALSE,225,https://hackforums.net/showthread.php?tid=4668548,HF News - 225,
FALSE,226,https://hackforums.net/showthread.php?tid=4680478,HF News - 226,
FALSE,227,https://hackforums.net/showthread.php?tid=4689907,HF News - 227,
FALSE,228,https://hackforums.net/showthread.php?tid=4701574,HF News - 228,
FALSE,229,https://hackforums.net/showthread.php?tid=4714430,HF News - 229,
FALSE,230,https://hackforums.net/showthread.php?tid=4723780,HF News - 230,
FALSE,231,https://hackforums.net/showthread.php?tid=4733481,HF News - 231 {Changes Implemented! Weekly Reports Only! NO OFF-TOPIC POSTS!},
FALSE,232,https://hackforums.net/showthread.php?tid=4743308,HF News // Edition 232,Switched to Hydra
FALSE,233,https://hackforums.net/showthread.php?tid=4755187,HF News // Edition 233,
FALSE,234,https://hackforums.net/showthread.php?tid=4766598,HF News // Edition 234,
FALSE,235,https://hackforums.net/showthread.php?tid=4777898,HF News // Edition 235,
FALSE,236,https://hackforums.net/showthread.php?tid=4788306,HF News // Edition 236,
FALSE,237,https://hackforums.net/showthread.php?tid=4797838,HF News // Edition 237,
FALSE,238,https://hackforums.net/showthread.php?tid=4807604,HF News // Edition 238,
FALSE,239,https://hackforums.net/showthread.php?tid=4817109,HF News // Edition 239,
FALSE,240,https://hackforums.net/showthread.php?tid=4827311,HF News // Edition 240,
FALSE,241,https://hackforums.net/showthread.php?tid=4836803,HF News // Edition 241 // NEW SECTION - WRITE YOUR OWN ARTICLES,
FALSE,242,https://hackforums.net/showthread.php?tid=4846809,HF News // Edition 242,
FALSE,243,https://hackforums.net/showthread.php?tid=4858498,HF News // Edition 243,
FALSE,244,https://hackforums.net/showthread.php?tid=4866957,HF News // Edition 244,
FALSE,245,https://hackforums.net/showthread.php?tid=4876973,HF News // Edition 245,
FALSE,246,https://hackforums.net/showthread.php?tid=4887060,HF News // Edition 246,
FALSE,247,https://hackforums.net/showthread.php?tid=4896425,HF News // Edition 247,
FALSE,248,https://hackforums.net/showthread.php?tid=4905023,HF News // Edition 248,
FALSE,249,https://hackforums.net/showthread.php?tid=4915330,HF News // Edition 249,
FALSE,250,https://hackforums.net/showthread.php?tid=4926025,HF News // Edition 250,
FALSE,251,https://hackforums.net/showthread.php?tid=4935739,HF News // Edition 251,
FALSE,252,https://hackforums.net/showthread.php?tid=4944570,HF News // Edition 252,
FALSE,253,https://hackforums.net/showthread.php?tid=4954872,HF News // Edition 253 - Happy Birthday Omni!,
FALSE,254,https://hackforums.net/showthread.php?tid=4963786,HF News // Edition 254,
FALSE,255,https://hackforums.net/showthread.php?tid=4971339,HF News // Edition 255,
FALSE,256,https://hackforums.net/showthread.php?tid=4981038,HF News // Edition 256,
FALSE,257,https://hackforums.net/showthread.php?tid=4989295,HF News // Edition 257,
FALSE,258,https://hackforums.net/showthread.php?tid=4998215,HF News // Edition 258,
FALSE,259,https://hackforums.net/showthread.php?tid=5005305,HF News // Edition 259,
FALSE,260,https://hackforums.net/showthread.php?tid=5014497,HF News // Edition 260,
FALSE,261,https://hackforums.net/showthread.php?tid=5022604,HF News // Edition 261,
FALSE,262,https://hackforums.net/showthread.php?tid=5029050,HF News // Edition 262,
FALSE,263,https://hackforums.net/showthread.php?tid=5036542,HF News // Edition 263,
FALSE,264,https://hackforums.net/showthread.php?tid=5046370,HF News // Edition 264,
FALSE,265,https://hackforums.net/showthread.php?tid=5053760,HF News // Edition 265,
FALSE,266,https://hackforums.net/showthread.php?tid=5061860,HF News // Edition 266,
FALSE,267,https://hackforums.net/showthread.php?tid=5071298,HF News // Edition 267,
FALSE,268,https://hackforums.net/showthread.php?tid=5079653,HF News // Edition 268,
FALSE,269,https://hackforums.net/showthread.php?tid=5088224,HF News // Edition 269,
FALSE,270,https://hackforums.net/showthread.php?tid=5098311,HF News // Edition 270,
FALSE,271,https://hackforums.net/showthread.php?tid=5103731,HF News // Edition 271,
FALSE,272,https://hackforums.net/showthread.php?tid=5115525,HF News // Edition 272,
FALSE,273,https://hackforums.net/showthread.php?tid=5123240,Hack Forums News // Edition 273,
FALSE,274,https://hackforums.net/showthread.php?tid=5132023,Hack Forums News // Edition 274,
FALSE,275,https://hackforums.net/showthread.php?tid=5140320,Hack Forums News // Edition 275,
FALSE,276,https://hackforums.net/showthread.php?tid=5148784,Hack Forums News // Edition 276,
FALSE,277,https://hackforums.net/showthread.php?tid=5155967,Hack Forums News // Edition 277,
FALSE,278,https://hackforums.net/showthread.php?tid=5164036,Hack Forums News // Edition 278,
FALSE,279,https://hackforums.net/showthread.php?tid=5172302,Hack Forums News // Edition 279,
FALSE,280,https://hackforums.net/showthread.php?tid=5181815,Hack Forums News // Edition 280,
FALSE,281,https://hackforums.net/showthread.php?tid=5189495,Hack Forums News // Edition 281,
FALSE,282,https://hackforums.net/showthread.php?tid=5197223,Hack Forums News // Edition 282,
FALSE,283,https://hackforums.net/showthread.php?tid=5205738,Hack Forums News // Edition 283,
FALSE,284,https://hackforums.net/showthread.php?tid=5213043,Hack Forums News // Edition 284,
FALSE,285,https://hackforums.net/showthread.php?tid=5218924,Hack Forums News // Edition 285,
FALSE,286,https://hackforums.net/showthread.php?tid=5227260,Hack Forums News // Edition 286,
FALSE,287,https://hackforums.net/showthread.php?tid=5235158,Hack Forums News // Edition 287,
FALSE,288,https://hackforums.net/showthread.php?tid=5241451,Hack Forums News // Edition 288,
FALSE,289,https://hackforums.net/showthread.php?tid=5250505,Hack Forums News // Edition 289,
FALSE,290,https://hackforums.net/showthread.php?tid=5264471,Hack Forums News // Edition 290,
FALSE,291,https://hackforums.net/showthread.php?tid=5272467,Hack Forums News // Edition 291,
FALSE,292,https://hackforums.net/showthread.php?tid=5281977,Hack Forums News // Edition 292,
FALSE,293,https://hackforums.net/showthread.php?tid=5289015,Hack Forums News // Edition 293,
FALSE,294,https://hackforums.net/showthread.php?tid=5296411,Hack Forums News // Edition 294,
FALSE,295,https://hackforums.net/showthread.php?tid=5305435,Hack Forums News // Edition 295,
FALSE,296,https://hackforums.net/showthread.php?tid=5313718,Hack Forums News // Edition 296,
FALSE,297,https://hackforums.net/showthread.php?tid=5321865,Hack Forums News // Edition 297,
FALSE,298,https://hackforums.net/showthread.php?tid=5326862,Hack Forums News // Edition 298,
FALSE,299,https://hackforums.net/showthread.php?tid=5338128,Hack Forums News // Edition 299,
FALSE,300,https://hackforums.net/showthread.php?tid=5343539,"Hack Forums News // Edition 300 -- Giveaway, HF Wiki, Interview with Omni, and more!",
FALSE,301,https://hackforums.net/showthread.php?tid=5353155,Hack Forums News // Edition 301,
FALSE,302,https://hackforums.net/showthread.php?tid=5362566,Hack Forums News // Edition 302,
FALSE,303,https://hackforums.net/showthread.php?tid=5370939,Hack Forums News // Edition 303,
FALSE,304,https://hackforums.net/showthread.php?tid=5376551,Hack Forums News // Edition 304,
FALSE,305,https://hackforums.net/showthread.php?tid=5385403,Hack Forums News // Edition 305,
FALSE,306,https://hackforums.net/showthread.php?tid=5391655,Hack Forums News // Edition 306,
FALSE,307,https://hackforums.net/showthread.php?tid=5399323,Hack Forums News // Edition 307,
FALSE,308,https://hackforums.net/showthread.php?tid=5403666,Hack Forums News // Edition 308,
FALSE,309,https://hackforums.net/showthread.php?tid=5410455,Hack Forums News // Edition 309,
